# accuracy, cost, lr
7.209999999999999742e-01, 2.754518505902323611e+00, 1.000000000000000056e-01
7.099999999999999645e-01, 2.754518505902323611e+00, 1.000000000000000056e-01
6.710000000000000409e-01, 1.671002365726817596e+00, 9.661835748792271805e-02
4.819999999999999840e-01, 2.342741012416937441e+00, 9.345794392523364136e-02
5.060000000000000053e-01, 2.297930472189641637e+00, 9.049773755656109753e-02
4.630000000000000226e-01, 2.439551414877091595e+00, 8.771929824561403022e-02
5.320000000000000284e-01, 2.178724563251159374e+00, 8.510638297872340219e-02
6.640000000000000346e-01, 2.567463309386555537e+00, 8.264462809917355601e-02
5.639999999999999458e-01, 2.699209894184114944e+00, 8.032128514056224855e-02
5.130000000000000115e-01, 2.571151072059323361e+00, 7.812500000000000000e-02
6.039999999999999813e-01, 2.750488706043306752e+00, 7.604562737642586723e-02
6.380000000000000115e-01, 2.664314128634637235e+00, 7.407407407407406996e-02
6.430000000000000160e-01, 2.683222060621555549e+00, 7.220216606498194856e-02
6.490000000000000213e-01, 2.746844082144428434e+00, 7.042253521126760896e-02
6.810000000000000497e-01, 2.746041454076853405e+00, 6.872852233676976508e-02
6.640000000000000346e-01, 2.795727403517655141e+00, 6.711409395973154390e-02
7.059999999999999609e-01, 2.806177422618421069e+00, 6.557377049180328210e-02
6.969999999999999529e-01, 2.856454747617924728e+00, 6.410256410256411075e-02
7.029999999999999583e-01, 2.857857376605130284e+00, 6.269592476489027622e-02
7.119999999999999662e-01, 2.901212112572334689e+00, 6.134969325153374203e-02
7.059999999999999609e-01, 2.897841846741580074e+00, 6.006006006006005954e-02
6.999999999999999556e-01, 2.929750355112479276e+00, 5.882352941176470507e-02
6.810000000000000497e-01, 2.906449484028518881e+00, 5.763688760806916223e-02
7.259999999999999787e-01, 2.908724949034510399e+00, 5.649717514124293766e-02
6.820000000000000506e-01, 2.942837970402212733e+00, 5.540166204986149423e-02
7.039999999999999591e-01, 2.949863782363970621e+00, 5.434782608695652023e-02
7.019999999999999574e-01, 2.965367840629181906e+00, 5.333333333333333676e-02
7.369999999999999885e-01, 2.991496009645489007e+00, 5.235602094240837667e-02
6.939999999999999503e-01, 2.960666999672517452e+00, 5.141388174807198091e-02
7.419999999999999929e-01, 3.006814005782457500e+00, 5.050505050505051108e-02
7.009999999999999565e-01, 3.002353404906356715e+00, 4.962779156327543073e-02
7.339999999999999858e-01, 3.017678158586834414e+00, 4.878048780487805741e-02
7.049999999999999600e-01, 3.019021380800256615e+00, 4.796163069544364527e-02
7.399999999999999911e-01, 3.031272322412058795e+00, 4.716981132075472039e-02
7.079999999999999627e-01, 3.036772585977813410e+00, 4.640371229698375677e-02
7.329999999999999849e-01, 3.042476360186123330e+00, 4.566210045662100203e-02
7.079999999999999627e-01, 3.050849684208757573e+00, 4.494382022471909988e-02
7.359999999999999876e-01, 3.055049644034495415e+00, 4.424778761061946841e-02
7.129999999999999671e-01, 3.062909314804469041e+00, 4.357298474945534017e-02
7.359999999999999876e-01, 3.066444594019870795e+00, 4.291845493562231745e-02
7.119999999999999662e-01, 3.074071052017876227e+00, 4.228329809725158567e-02
7.429999999999999938e-01, 3.076492847216512061e+00, 4.166666666666666435e-02
7.059999999999999609e-01, 3.082852276707315653e+00, 4.106776180698151757e-02
7.429999999999999938e-01, 3.083427945153053074e+00, 4.048582995951417046e-02
7.169999999999999707e-01, 3.090914395367463818e+00, 3.992015968063872960e-02
7.459999999999999964e-01, 3.090241818548871588e+00, 3.937007874015747977e-02
7.189999999999999725e-01, 3.099690914404771735e+00, 3.883495145631067624e-02
7.610000000000000098e-01, 3.096924629891403491e+00, 3.831417624521072512e-02
7.339999999999999858e-01, 3.108071881118844360e+00, 3.780718336483931269e-02
7.580000000000000071e-01, 3.104170443851700156e+00, 3.731343283582089221e-02
7.600000000000000089e-01, 3.113475253300467038e+00, 3.683241252302026092e-02
7.580000000000000071e-01, 3.110577840759747303e+00, 3.636363636363636881e-02
6.630000000000000338e-01, 3.199215420590442172e+00, 7.729468599033818832e-02
7.159999999999999698e-01, 2.926985241582539032e+00, 7.476635514018692419e-02
7.239999999999999769e-01, 3.115615724403212106e+00, 7.239819004524888912e-02
7.229999999999999760e-01, 3.041304763797982424e+00, 7.017543859649123805e-02
7.500000000000000000e-01, 3.135017289831631082e+00, 6.808510638297873840e-02
7.500000000000000000e-01, 3.118616499589133007e+00, 6.611570247933885869e-02
7.009999999999999565e-01, 3.136921472297003799e+00, 6.425702811244980717e-02
7.079999999999999627e-01, 3.126539669444547531e+00, 6.250000000000001388e-02
7.179999999999999716e-01, 3.008892577023342341e+00, 6.083650190114069795e-02
7.610000000000000098e-01, 3.149286941294050290e+00, 5.925925925925926846e-02
7.029999999999999583e-01, 3.176566172916055031e+00, 5.776173285198556856e-02
7.630000000000000115e-01, 3.056573333923615188e+00, 5.633802816901409966e-02
7.339999999999999858e-01, 3.167926237174776727e+00, 5.498281786941581345e-02
7.640000000000000124e-01, 3.138851502008679351e+00, 5.369127516778524761e-02
7.379999999999999893e-01, 3.192431371471022850e+00, 5.245901639344263678e-02
7.459999999999999964e-01, 3.120398602242596020e+00, 5.128205128205128721e-02
7.479999999999999982e-01, 3.124471750681545146e+00, 5.015673981191223069e-02
7.199999999999999734e-01, 3.152271990756424280e+00, 4.907975460122700195e-02
7.650000000000000133e-01, 3.179384369074337968e+00, 4.804804804804805457e-02
7.149999999999999689e-01, 3.165889160783408318e+00, 4.705882352941177099e-02
7.630000000000000115e-01, 3.189616037706718199e+00, 4.610951008645533533e-02
7.349999999999999867e-01, 3.183964346599621464e+00, 4.519774011299435706e-02
7.550000000000000044e-01, 3.211877258490853482e+00, 4.432132963988920371e-02
7.590000000000000080e-01, 3.196319453774082664e+00, 4.347826086956522312e-02
7.289999999999999813e-01, 3.197034914215454826e+00, 4.266666666666667218e-02
7.570000000000000062e-01, 3.187514132756430918e+00, 4.188481675392670411e-02
7.620000000000000107e-01, 3.229463569274861445e+00, 4.113110539845758751e-02
7.600000000000000089e-01, 3.218446926677977604e+00, 4.040404040404041441e-02
7.660000000000000142e-01, 3.203971727101634137e+00, 3.970223325062035430e-02
7.389999999999999902e-01, 3.239718852456066500e+00, 3.902439024390245287e-02
7.580000000000000071e-01, 3.201655549545593171e+00, 3.836930455635492732e-02
7.680000000000000160e-01, 3.237355430480413077e+00, 3.773584905660377908e-02
7.600000000000000089e-01, 3.220088575781939966e+00, 3.712296983758701235e-02
7.670000000000000151e-01, 3.243146870331523157e+00, 3.652968036529680163e-02
7.600000000000000089e-01, 3.253174528825492295e+00, 3.595505617977528406e-02
7.620000000000000107e-01, 3.251423258514669179e+00, 3.539823008849558167e-02
7.790000000000000258e-01, 3.270802947537988281e+00, 3.485838779956428046e-02
7.359999999999999876e-01, 3.260475673097580351e+00, 3.433476394849786090e-02
7.540000000000000036e-01, 3.209120342759623767e+00, 3.382663847780126992e-02
7.439999999999999947e-01, 3.203635233302988716e+00, 3.333333333333333287e-02
7.800000000000000266e-01, 3.246560372392868210e+00, 3.285420944558522377e-02
7.449999999999999956e-01, 3.231223562616144296e+00, 3.238866396761133637e-02
7.750000000000000222e-01, 3.246714601367378439e+00, 3.193612774451098230e-02
7.740000000000000213e-01, 3.288010184760615129e+00, 3.149606299212599075e-02
7.560000000000000053e-01, 3.260599348874201109e+00, 3.106796116504854585e-02
7.840000000000000302e-01, 3.254971470955752455e+00, 3.065134099616858426e-02
7.600000000000000089e-01, 3.241768758321203148e+00, 3.024574669187145640e-02
