pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,0.000000000000000000e+00,1.549999999999999989e-01,7.670000000000000151e-01,4.782012634988140887e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.000000000000000000e+00,1.549999999999999989e-01,7.720000000000000195e-01,4.782350863231960014e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.000000000000000000e+00,1.333333333333333315e-01,7.700000000000000178e-01,4.727321548475247881e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.000000000000000000e+00,1.169811320754716999e-01,7.650000000000000133e-01,4.659067959290881800e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,4.000000000000000000e+00,1.042016806722688982e-01,7.600000000000000089e-01,4.599269691195791987e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,5.000000000000000000e+00,9.393939393939394755e-02,7.590000000000000080e-01,4.555357719323390731e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,6.000000000000000000e+00,8.551724137931034087e-02,7.620000000000000107e-01,4.525957217667956334e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,7.000000000000000000e+00,7.848101265822785000e-02,7.620000000000000107e-01,4.506340347736261243e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,8.000000000000000000e+00,7.251461988304093442e-02,7.620000000000000107e-01,4.491803409273825154e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,9.000000000000000000e+00,6.739130434782608647e-02,7.620000000000000107e-01,4.480763846961167696e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.000000000000000000e+01,6.294416243654821219e-02,7.630000000000000115e-01,4.471366474509742561e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.100000000000000000e+01,5.904761904761905017e-02,7.600000000000000089e-01,4.463605962677841266e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.200000000000000000e+01,5.560538116591928065e-02,7.600000000000000089e-01,4.456511749041349724e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.300000000000000000e+01,5.254237288135592959e-02,7.600000000000000089e-01,4.450269511786015819e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.400000000000000000e+01,4.979919678714858633e-02,7.600000000000000089e-01,4.444393603796849557e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.500000000000000000e+01,4.732824427480916002e-02,7.620000000000000107e-01,4.438956314372155543e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.600000000000000000e+01,4.509090909090909122e-02,7.630000000000000115e-01,4.433763430757625135e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.700000000000000000e+01,4.305555555555555525e-02,7.630000000000000115e-01,4.428804500852520643e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.800000000000000000e+01,4.119601328903654130e-02,7.650000000000000133e-01,4.424010769713266900e-01
