# accuracy, cost, lr
7.209999999999999742e-01, 4.366195669970620447e-03, 1.000000000000000056e-01
6.610000000000000320e-01, 1.679846884590922240e+00, 1.000000000000000056e-01
4.739999999999999769e-01, 2.330924304853992712e+00, 9.661835748792271805e-02
6.450000000000000178e-01, 2.739424749253707159e+00, 9.345794392523364136e-02
6.179999999999999938e-01, 2.759793123626025135e+00, 9.049773755656109753e-02
6.109999999999999876e-01, 2.764224114314939307e+00, 8.771929824561403022e-02
6.300000000000000044e-01, 2.773851523864374613e+00, 8.510638297872340219e-02
6.119999999999999885e-01, 2.800574473407741571e+00, 8.264462809917355601e-02
6.450000000000000178e-01, 2.803402882606238933e+00, 8.032128514056224855e-02
6.219999999999999973e-01, 2.820852922434963883e+00, 7.812500000000000000e-02
6.450000000000000178e-01, 2.833056206365412333e+00, 7.604562737642586723e-02
6.270000000000000018e-01, 2.826978344561367429e+00, 7.407407407407406996e-02
6.430000000000000160e-01, 1.776250261426898902e+00, 7.220216606498194856e-02
6.949999999999999512e-01, 2.900528137544890583e+00, 7.042253521126760896e-02
6.810000000000000497e-01, 2.935820617576438973e+00, 6.872852233676976508e-02
7.019999999999999574e-01, 2.928583230887322308e+00, 6.711409395973154390e-02
6.879999999999999449e-01, 2.948038267400539869e+00, 6.557377049180328210e-02
6.949999999999999512e-01, 2.963885416859459720e+00, 6.410256410256411075e-02
6.949999999999999512e-01, 2.968842639533253003e+00, 6.269592476489027622e-02
6.929999999999999494e-01, 2.979149504296342510e+00, 6.134969325153374203e-02
6.999999999999999556e-01, 2.970959251815810997e+00, 6.006006006006005954e-02
6.860000000000000542e-01, 2.967381539452055073e+00, 5.882352941176470507e-02
6.770000000000000462e-01, 1.849459838426205316e+00, 5.763688760806916223e-02
7.069999999999999618e-01, 2.957156073279011199e+00, 5.649717514124293766e-02
6.929999999999999494e-01, 2.972336951151993034e+00, 5.540166204986149423e-02
7.009999999999999565e-01, 2.975883430688915254e+00, 5.434782608695652023e-02
6.909999999999999476e-01, 2.975720415207682823e+00, 5.333333333333333676e-02
6.879999999999999449e-01, 2.991315197821805327e+00, 5.235602094240837667e-02
6.989999999999999547e-01, 2.998080638661681618e+00, 5.141388174807198091e-02
7.089999999999999636e-01, 2.997581749637816984e+00, 5.050505050505051108e-02
7.019999999999999574e-01, 2.995846707849805668e+00, 4.962779156327543073e-02
6.969999999999999529e-01, 3.000291510749867996e+00, 4.878048780487805741e-02
6.740000000000000435e-01, 1.884857983317984154e+00, 4.796163069544364527e-02
6.999999999999999556e-01, 2.964535318419050824e+00, 4.716981132075472039e-02
6.969999999999999529e-01, 2.972831210317939288e+00, 4.640371229698375677e-02
6.919999999999999485e-01, 2.984287930367053754e+00, 4.566210045662100203e-02
6.979999999999999538e-01, 2.999933464816786355e+00, 4.494382022471909988e-02
6.949999999999999512e-01, 2.994718493657829939e+00, 4.424778761061946841e-02
6.959999999999999520e-01, 3.012234573847266450e+00, 4.357298474945534017e-02
6.919999999999999485e-01, 3.015013018642298537e+00, 4.291845493562231745e-02
6.850000000000000533e-01, 3.025431552514300293e+00, 4.228329809725158567e-02
7.009999999999999565e-01, 3.012567916116579259e+00, 4.166666666666666435e-02
6.740000000000000435e-01, 1.899189981735636579e+00, 4.106776180698151757e-02
6.979999999999999538e-01, 2.972454494199130437e+00, 4.048582995951417046e-02
6.879999999999999449e-01, 2.981799252147916857e+00, 3.992015968063872960e-02
6.899999999999999467e-01, 3.017178639479362268e+00, 3.937007874015747977e-02
6.959999999999999520e-01, 3.014974441959408225e+00, 3.883495145631067624e-02
7.019999999999999574e-01, 3.013292120124482665e+00, 3.831417624521072512e-02
6.959999999999999520e-01, 3.002774240859658494e+00, 3.780718336483931269e-02
6.840000000000000524e-01, 3.021225070169178739e+00, 3.731343283582089221e-02
6.979999999999999538e-01, 3.023673585943244646e+00, 3.683241252302026092e-02
6.830000000000000515e-01, 3.028941196685378312e+00, 3.636363636363636881e-02
5.350000000000000311e-01, 2.936363987032363454e+00, 7.729468599033818832e-02
6.360000000000000098e-01, 2.731048896618814670e+00, 7.476635514018692419e-02
6.330000000000000071e-01, 2.714037141261460118e+00, 7.239819004524888912e-02
6.350000000000000089e-01, 2.747977307737224706e+00, 7.017543859649123805e-02
6.290000000000000036e-01, 2.754949653413222954e+00, 6.808510638297873840e-02
6.290000000000000036e-01, 2.768227883161483938e+00, 6.611570247933885869e-02
6.290000000000000036e-01, 2.776043815106837176e+00, 6.425702811244980717e-02
6.219999999999999973e-01, 2.772839842580512304e+00, 6.250000000000001388e-02
6.370000000000000107e-01, 2.766068162879663728e+00, 6.083650190114069795e-02
6.350000000000000089e-01, 2.774001346301736781e+00, 5.925925925925926846e-02
4.460000000000000075e-01, 2.728116753233002179e+00, 5.776173285198556856e-02
5.450000000000000400e-01, 2.361736575873959243e+00, 5.633802816901409966e-02
5.769999999999999574e-01, 2.308563573193944229e+00, 5.498281786941581345e-02
5.959999999999999742e-01, 2.379716261089706464e+00, 5.369127516778524761e-02
5.939999999999999725e-01, 2.428732733631197238e+00, 5.245901639344263678e-02
5.769999999999999574e-01, 2.460594671440972547e+00, 5.128205128205128721e-02
5.839999999999999636e-01, 2.435383645207241265e+00, 5.015673981191223069e-02
5.889999999999999680e-01, 2.435938758193688436e+00, 4.907975460122700195e-02
5.709999999999999520e-01, 2.457840451713688701e+00, 4.804804804804805457e-02
5.879999999999999671e-01, 2.433121605044140878e+00, 4.705882352941177099e-02
5.969999999999999751e-01, 2.386884895913245153e+00, 4.610951008645533533e-02
6.640000000000000346e-01, 2.776021239452108436e+00, 4.519774011299435706e-02
6.690000000000000391e-01, 2.804691994587896087e+00, 4.432132963988920371e-02
6.640000000000000346e-01, 2.816020553781906077e+00, 4.347826086956522312e-02
6.640000000000000346e-01, 2.804010257217954383e+00, 4.266666666666667218e-02
6.660000000000000364e-01, 2.787976317878698929e+00, 4.188481675392670411e-02
6.710000000000000409e-01, 2.808151784826665498e+00, 4.113110539845758751e-02
6.710000000000000409e-01, 2.819008106767921795e+00, 4.040404040404041441e-02
6.710000000000000409e-01, 2.835987174774978747e+00, 3.970223325062035430e-02
6.750000000000000444e-01, 2.846181912897024269e+00, 3.902439024390245287e-02
5.869999999999999662e-01, 2.801945437185494381e+00, 3.836930455635492732e-02
